key,source,target
Content/2147153405,  012201211120113021223<br>10001303131113021312122113121211131,
Content/2513090629,  100113001211<br>10131221120112321310,
Content/3622026869,  1010121113111303,
Content/3514553089,  1010121113111303<br>1020123312311233,
Content/1273579361,  1010123313021231120112321310<br>110313101201131013111303322,
Content/3344693288,  10121201120312211230122113101321<br>1110121113031310122112321213,
Content/1142192903,  10122012111302<br>100213021233123312101231123313,
Content/80918097,  1020123312311221123212211210<br>10111320131013021201,
Content/938612768,  103012211322120113021210<br>1012122113021211,
Content/4032608850,  110212111203123<br>  113031310130212,
Content/3406852688,  1103120113001221121112321303<br>1020123312311233,
Content/2315076834,  11131012201211120113021223<br> <br>   1010123313021231120112321310<br> <br>   100113001211,
Content/1647334565,  11131012201211120113021223<br> <br>   1010123313021231120112321310<br> <br>   10122012111302,
Content/2235642036,  11131012201211120113021223<br> <br>   1010123313021231120112321310<br> <br>   103012211322120113021210,
Content/2695638467,  11131012201211120113021223<br>100013031311130213121221131212,
Content/4217722493,  11210<br> <br> 301303302313<br>10031233123012331232122113031310<br> <br>1020123312311233,
Content/503802882,  11210<br>10111232121012011232121312111302121,
Content/3190664819,  3122112111303<br>  0312011230<br>  102012211303131,
Content/4038400078,  3122112111303<br>110313001211120<br>  0312011230<br>012331302122112<br>  102012211303131<br>110013021211231,
Content/845013814, (+10 Survivor Max Level),
Content/3676423812, (+15 Survivor Max Level),
Content/4004698144, (+5 Survivor Max Level),
Content/1089839026, ({0}%),
Content/572836242," ({DayPct}% Day, {NightPct}% Night)",
Content/3816866387, / ,
Content/2993331429, / 999,
Content/4128891408, : Toggle RTS Mode,
Content/1941761426, <br> 110212111203123313021210<br>110013021211130312111302131212<br> <br>10111320131013021201,
Content/2450044979, <br> 110212111203123313021210<br>110013021211130312111302131212<br> <br>1020123312311233,
Content/2271510936, Cheat summon bossteleporter_spider_easy_c,
Content/3556525234, Cooldown of the door is {1h},
Content/2151908253, Cooldown of the spawn is {1h},
Content/888605196," Disable the gradual (7 days) decay of dinosaur ownership. Without this set to true, every dinosaur can be claimed by any player. ",
Content/3585239671, Manual Command ,
Content/1211961643, Map Jump ,
Content/120056706, Oil,
Content/3268934406," Santiago's Grave",
Content/3143033842, | Affinity To Gain: ,
Content/792855726,"""Afro"" Head Hair Style",
Content/4129420690,"""Archer Flex"" Emote",
Content/739130269,"""Backflip"" Emote",
Content/1117787787,"""Bicep Smooch"" Emote",
Content/833147918,"""Braids"" Head Hair Style",
Content/3926226048,"""Chest Beat"" Emote",
Content/1482538012,"""Curly Beard"" Facial Hair Style",
Content/1446851692,"""Dance"" Emote",
Content/1558743344,"""Dread Beard"" Facial Hair Style",
Content/278435717,"""Dreadlocks"" Head Hair Style",
Content/632780745,"""Evil"" Emote",
Content/1655020150,"""Goatee"" Facial Hair Style",
Content/643344663,"""Heart"" Emote",
Content/3820237599,"""Hula Dance"" Emote",
Content/2902603737,"""King of Swing"" Grand Prix",
Content/2300645258,"""Knock"" Emote",
Content/3944973482,"""Mohawk"" Head Hair Style",
Content/564152109,"""Moustache"" Facial Hair Style",
Content/2070978592,"""Mutton Chops"" Facial Hair Style",
Content/2637203536,"""Ponytail"" Head Hair Style",
Content/824893789,"""Romantic"" Facial Hair Style",
Content/3104943150,"""Romantic"" Head Hair Style",
Content/737920927,"""Scare"" Emote",
Content/3500347465,"""Self Hug"" Emote",
Content/3880711618,"""Snowball"" Emote",
Content/4118189319,"""Trick or Treat 1"" Emote",
Content/1013554616,"""Trick or Treat 2"" Emote",
Content/219533937,"""Turkey"" Emote",
Content/3138522526,"""Viking Beard"" Facial Hair Style",
Content/2920121055,"""Viking"" Head Hair Style",
Content/4175283099,"""You can't surprise me anymore, life,"" I said. ""After wyverns, golems and giant sand worms, I'm ready for anything.""
""What about flying squid-bat-murder-monsters?"" life replied.
""Well, that is mildly surprising,"" I conceded.
By which I mean, I shot and cursed at those things all afternoon. At least, when I wasn't running from them. Thankfully after thinning their numbers a little, they decided that Rockwell and I weren't worth the trouble. Let's hope they don't change their minds. I'm not sure I have enough ammunition left to fend them off again.
And yes, I know that FSBMM isn't the most scientific of monikers, but I'm bloody upset with them right now so that's what I'm calling them...along with some other names I'd rather not write down.",
Content/4224848549,"""Zombie"" Emote",
Content/2479087564,#,
Content/2594475951,% {0} Req {1} Aff {2},
Content/1153587405,(,
Content/2300739577,( {console} ),
Content/4226574828,(**)Dino cannot be tamed naturally,
Content/2692594994,"(**)Egg doesn't have a Fertilized/Unfertilized variant",
Content/4027717093,(0%),
Content/3626985719,(100 / 100),
Content/1137989932,(Escort_Lunar_LanternPets_DropPoint) ServerSidePoint - 0 - 0,
Content/3369627605,(Fishing_Ice_ChairSpawnPoint) ServerSidePoint - 0 - 0,
Content/2914997395,(Fishing_Ice_ChairSpawnPoint) ServerSidePoint - 1 - 0,
Content/1735467551,(Fishing_Ice_ChairSpawnPoint) ServerSidePoint - 3 - 0,
Content/3813851082,(Fishing_Ice_ChairSpawnPoint) ServerSidePoint - 5 - 0,
Content/698140998,(Fishing_Ice_ChairSpawnPoint) ServerSidePoint - 7 - 0,
Content/3973198910,(Fishing_Ice_FishSpawnPoint) ServerSidePoint - 0 - 0,
Content/478038479,(Hunt_Dino_Arctic_01) ServerSidePoint - 0 - 1,
Content/248243745,(Hunt_Dino_Arctic_01) ServerSidePoint - 0 - 2,
Content/3061285188,(Hunt_Dino_Arctic_01) ServerSidePoint - 0 - 3,
Content/3563476187,(Hunt_Dino_Arctic_02) ServerSidePoint - 1 - 0,
Content/2077169937,(Hunt_Dino_Arctic_02) ServerSidePoint - 2 - 0,
Content/514335319,(Hunt_Dino_Arctic_02) ServerSidePoint - 3 - 0,
Content/3638072374,(Hunt_Dino_Arctic_03) ServerSidePoint - 1 - 0,
Content/2003950076,(Hunt_Dino_Arctic_03) ServerSidePoint - 2 - 0,
Content/303489722,(Hunt_Dino_Arctic_03) ServerSidePoint - 3 - 0,
Content/574327446,(Hunt_Dino_Arctic_04) ServerSidePoint - 0 - 1,
Content/814622072,(Hunt_Dino_Arctic_04) ServerSidePoint - 0 - 2,
Content/2284995101,(Hunt_Dino_Arctic_04) ServerSidePoint - 0 - 3,
Content/780487291,(Hunt_Dino_Arctic_05) ServerSidePoint - 0 - 1,
Content/1009837461,(Hunt_Dino_Arctic_05) ServerSidePoint - 0 - 2,
Content/2223801072,(Hunt_Dino_Arctic_05) ServerSidePoint - 0 - 3,
Content/994446156,(Hunt_Dino_Arctic_06) ServerSidePoint - 0 - 1,
Content/2437923783,(Hunt_Dino_Arctic_06) ServerSidePoint - 0 - 3,
Content/939051937,(Hunt_Dino_Arctic_07) ServerSidePoint - 0 - 1,
Content/625828943,(Hunt_Dino_Arctic_07) ServerSidePoint - 0 - 2,
Content/2649817898,(Hunt_Dino_Arctic_07) ServerSidePoint - 0 - 3,
Content/1966509642,(Hunt_Dino_Arctic_08) ServerSidePoint - 0 - 1,
Content/1736647076,(Hunt_Dino_Arctic_08) ServerSidePoint - 0 - 2,
Content/3745466049,(Hunt_Dino_Arctic_08) ServerSidePoint - 0 - 3,
Content/2038976167,(Hunt_Dino_Arctic_09) ServerSidePoint - 0 - 1,
Content/1799217481,(Hunt_Dino_Arctic_09) ServerSidePoint - 0 - 2,
Content/3548481068,(Hunt_Dino_Arctic_09) ServerSidePoint - 0 - 3,
Content/3599387034,(Hunt_Dino_Arctic_10) ServerSidePoint - 0 - 1,
Content/3292522100,(Hunt_Dino_Arctic_10) ServerSidePoint - 0 - 2,
Content/2088993041,(Hunt_Dino_Arctic_10) ServerSidePoint - 0 - 3,
Content/3660876151,(Hunt_Dino_Arctic_11) ServerSidePoint - 0 - 1,
Content/3363907225,(Hunt_Dino_Arctic_11) ServerSidePoint - 0 - 2,
Content/1883062780,(Hunt_Dino_Arctic_11) ServerSidePoint - 0 - 3,
Content/3489122368,(Hunt_Dino_Arctic_12) ServerSidePoint - 0 - 1,
Content/3712116654,(Hunt_Dino_Arctic_12) ServerSidePoint - 0 - 2,
Content/1711145163,(Hunt_Dino_Arctic_12) ServerSidePoint - 0 - 3,
Content/3518723728,(Hunt_Dino_Arctic_A) ServerSidePoint - 0 - 0,
Content/3296212903,(Hunt_Dino_Arctic_B) ServerSidePoint - 0 - 0,
Content/2575352521,(Hunt_Dino_Bog_01) ServerSidePoint - 1 - 0,
Content/908693251,(Hunt_Dino_Bog_01) ServerSidePoint - 2 - 0,
Content/1397666885,(Hunt_Dino_Bog_01) ServerSidePoint - 3 - 0,
Content/2353234942,(Hunt_Dino_Bog_02) ServerSidePoint - 1 - 0,
Content/602590772,(Hunt_Dino_Bog_02) ServerSidePoint - 2 - 0,
Content/1183708530,(Hunt_Dino_Bog_02) ServerSidePoint - 3 - 0,
Content/2164081427,(Hunt_Dino_Bog_03) ServerSidePoint - 1 - 0,
Content/794037977,(Hunt_Dino_Bog_03) ServerSidePoint - 2 - 0,
Content/1244870047,(Hunt_Dino_Bog_03) ServerSidePoint - 3 - 0,
Content/2814706064,(Hunt_Dino_Bog_04) ServerSidePoint - 1 - 0,
Content/141315162,(Hunt_Dino_Bog_04) ServerSidePoint - 2 - 0,
Content/1829467932,(Hunt_Dino_Bog_04) ServerSidePoint - 3 - 0,
Content/2877014397,(Hunt_Dino_Bog_05) ServerSidePoint - 1 - 0,
Content/80907447,(Hunt_Dino_Bog_05) ServerSidePoint - 2 - 0,
Content/1639299057,(Hunt_Dino_Bog_05) ServerSidePoint - 3 - 0,
Content/3199762506,(Hunt_Dino_Bog_06) ServerSidePoint - 1 - 0,
Content/286379392,(Hunt_Dino_Bog_06) ServerSidePoint - 2 - 0,
Content/1953953478,(Hunt_Dino_Bog_06) ServerSidePoint - 3 - 0,
Content/2986754215,(Hunt_Dino_Bog_07) ServerSidePoint - 1 - 0,
Content/498011501,(Hunt_Dino_Bog_07) ServerSidePoint - 2 - 0,
Content/2026386987,(Hunt_Dino_Bog_07) ServerSidePoint - 3 - 0,
Content/4039640396,(Hunt_Dino_Bog_08) ServerSidePoint - 1 - 0,
Content/1600211078,(Hunt_Dino_Bog_08) ServerSidePoint - 2 - 0,
Content/973501376,(Hunt_Dino_Bog_08) ServerSidePoint - 3 - 0,
Content/4235642273,(Hunt_Dino_Bog_09) ServerSidePoint - 1 - 0,
Content/1407158379,(Hunt_Dino_Bog_09) ServerSidePoint - 2 - 0,
Content/918074157,(Hunt_Dino_Bog_09) ServerSidePoint - 3 - 0,
Content/1400160924,(Hunt_Dino_Bog_10) ServerSidePoint - 1 - 0,
Content/4242378582,(Hunt_Dino_Bog_10) ServerSidePoint - 2 - 0,
Content/2579149840,(Hunt_Dino_Bog_10) ServerSidePoint - 3 - 0,
Content/1607074417,(Hunt_Dino_Bog_11) ServerSidePoint - 1 - 0,
Content/4033040315,(Hunt_Dino_Bog_11) ServerSidePoint - 2 - 0,
Content/2500097277,(Hunt_Dino_Bog_11) ServerSidePoint - 3 - 0,
Content/1242121030,(Hunt_Dino_Bog_12) ServerSidePoint - 1 - 0,
Content/3852471948,(Hunt_Dino_Bog_12) ServerSidePoint - 2 - 0,
Content/2160539082,(Hunt_Dino_Bog_12) ServerSidePoint - 3 - 0,
Content/2923429070,(Hunt_Dino_Bog_A) ServerSidePoint - 0 - 0,
Content/3625013752,(Hunt_Dino_Bog_A_TEST) ServerSidePoint - 0 - 0,
Content/3153903097,(Hunt_Dino_Bog_B) ServerSidePoint - 0 - 0,
Content/3237187314,(Hunt_Dino_Eden_Start) ServerSidePoint - 0 - 0,
Content/164673089,(Hunt_Dino_Lunar_01) ServerSidePoint - 0 - 1,
Content/2748939978,(Hunt_Dino_Lunar_01) ServerSidePoint - 0 - 3,
Content/471070582,(Hunt_Dino_Lunar_02) ServerSidePoint - 0 - 1,
Content/245782680,(Hunt_Dino_Lunar_02) ServerSidePoint - 0 - 2,
Content/3055173629,(Hunt_Dino_Lunar_02) ServerSidePoint - 0 - 3,
Content/279787419,(Hunt_Dino_Lunar_03) ServerSidePoint - 0 - 1,
Content/35166325,(Hunt_Dino_Lunar_03) ServerSidePoint - 0 - 2,
Content/3131375376,(Hunt_Dino_Lunar_03) ServerSidePoint - 0 - 3,
Content/932541720,(Hunt_Dino_Lunar_04) ServerSidePoint - 0 - 1,
Content/622910198,(Hunt_Dino_Lunar_04) ServerSidePoint - 0 - 2,
Content/2644295059,(Hunt_Dino_Lunar_04) ServerSidePoint - 0 - 3,
Content/992720373,(Hunt_Dino_Lunar_05) ServerSidePoint - 0 - 1,
Content/698227227,(Hunt_Dino_Lunar_05) ServerSidePoint - 0 - 2,
Content/2434956670,(Hunt_Dino_Lunar_05) ServerSidePoint - 0 - 3,
Content/787018946,(Hunt_Dino_Lunar_06) ServerSidePoint - 0 - 1,
Content/1012751148,(Hunt_Dino_Lunar_06) ServerSidePoint - 0 - 2,
Content/2229353545,(Hunt_Dino_Lunar_06) ServerSidePoint - 0 - 3,
Content/576074799,(Hunt_Dino_Lunar_07) ServerSidePoint - 0 - 1,
Content/2287991972,(Hunt_Dino_Lunar_07) ServerSidePoint - 0 - 3,
Content/1620603332,(Hunt_Dino_Lunar_08) ServerSidePoint - 0 - 1,
Content/1915608618,(Hunt_Dino_Lunar_08) ServerSidePoint - 0 - 2,
Content/3398547791,(Hunt_Dino_Lunar_08) ServerSidePoint - 0 - 3,
Content/1814475049,(Hunt_Dino_Lunar_09) ServerSidePoint - 0 - 1,
Content/2123570887,(Hunt_Dino_Lunar_09) ServerSidePoint - 0 - 2,
Content/3325000098,(Hunt_Dino_Lunar_09) ServerSidePoint - 0 - 3,
Content/3273963028,(Hunt_Dino_Lunar_10) ServerSidePoint - 0 - 1,
Content/3515947514,(Hunt_Dino_Lunar_10) ServerSidePoint - 0 - 2,
Content/1764589215,(Hunt_Dino_Lunar_10) ServerSidePoint - 0 - 3,
Content/3483006713,(Hunt_Dino_Lunar_11) ServerSidePoint - 0 - 1,
Content/3710900503,(Hunt_Dino_Lunar_11) ServerSidePoint - 0 - 2,
Content/1704181362,(Hunt_Dino_Lunar_11) ServerSidePoint - 0 - 3,
Content/3663280078,(Hunt_Dino_Lunar_12) ServerSidePoint - 0 - 1,
Content/3370948640,(Hunt_Dino_Lunar_12) ServerSidePoint - 0 - 2,
Content/1884356421,(Hunt_Dino_Lunar_12) ServerSidePoint - 0 - 3,
Content/3605526307,(Hunt_Dino_Lunar_13) ServerSidePoint - 0 - 1,
Content/3293731021,(Hunt_Dino_Lunar_13) ServerSidePoint - 0 - 2,
Content/2095988648,(Hunt_Dino_Lunar_13) ServerSidePoint - 0 - 3,
Content/4057970080,(Hunt_Dino_Lunar_14) ServerSidePoint - 0 - 1,
Content/3815381582,(Hunt_Dino_Lunar_14) ServerSidePoint - 0 - 2,
Content/1540783403,(Hunt_Dino_Lunar_14) ServerSidePoint - 0 - 3,
Content/377044360,(Hunt_Dino_Lunar_A) ServerSidePoint - 0 - 0,
Content/62553279,(Hunt_Dino_Lunar_B) ServerSidePoint - 0 - 0,
Content/251968594,(Hunt_Dino_Lunar_C) ServerSidePoint - 0 - 0,
Content/915950748,(Hunt_Dino_Ocean_01) ServerSidePoint - 0 - 1,
Content/606987122,(Hunt_Dino_Ocean_01) ServerSidePoint - 0 - 2,
Content/2626782231,(Hunt_Dino_Ocean_01) ServerSidePoint - 0 - 3,
Content/593169835,(Hunt_Dino_Ocean_02) ServerSidePoint - 0 - 1,
Content/837722693,(Hunt_Dino_Ocean_02) ServerSidePoint - 0 - 2,
Content/2303903008,(Hunt_Dino_Ocean_02) ServerSidePoint - 0 - 3,
Content/803589446,(Hunt_Dino_Ocean_03) ServerSidePoint - 0 - 1,
Content/1028678312,(Hunt_Dino_Ocean_03) ServerSidePoint - 0 - 2,
Content/2246837709,(Hunt_Dino_Ocean_03) ServerSidePoint - 0 - 3,
Content/148737989,(Hunt_Dino_Ocean_04) ServerSidePoint - 0 - 1,
